Year,MarketSize_CNY_Billion,MarketSize_USD_Billion,Source
2025,2231.57,18.32,ReportsWorld / Mordor Intelligence
2025,2700.93,,Beizhe Consulting
2030,,24.62,Mordor Intelligence
2032,11516.19,,ReportsWorld
