Company,StockCode,Revenue_2025_CNY_Billion,NetIncome_2025_CNY_Billion,ROE_2025_Percent,GrossMargin_2025_Percent,NetMargin_2025_Percent,YoY_Revenue_Growth,MainBusiness
Jinhe Industrial,002597.SZ,49.11,3.47,4.60,30.37,7.06,-7.39,Sweeteners & Flavors
Angel Yeast,600298.SH,167.29,15.44,13.51,,9.23,10.08,Yeast & Fermentation
Bailong Chuanyuan,605016.SH,13.79,3.69,,,26.76,19.75,Probiotics & Dietary Fiber
Fufeng Group,00546.HK,278.79,24.65,,,8.84,0.40,MSG & Additives
Huabao Flavors,300741.SZ,13.38,0.84,,,6.26,,Flavors & Fragrances
Xinghu Science,600866.SH,120.77,10.15,,,8.40,-5.57,Nucleotides & Additives
